drug,indication,route,standard_dose,frequency,typical_duration,renal_adjustment,notes,source
Vancomycin,Gram-positive bacteremia,IV,15-20 mg/kg, q8-12h,14 days,adjust per CrCl,"MRSA or Gram-positive bloodstream infections; requires TDM","IDSA MRSA guidance; clinical practice" 
Daptomycin,Gram-positive bacteremia (alternative),IV,6 mg/kg, q24h,14 days,adjust per CrCl,"Alternative MRSA/bacteremia agent; not for pneumonia","IDSA MRSA guidance" 
Ceftriaxone,Uncomplicated gram-negative bacteremia,IV,2 g, q24h,7 days,none typical,"Once daily gram-negative regimen","Stewardship references; common clinical practice" 
Cefotaxime,Uncomplicated gram-negative bacteremia,IV,2 g, q8h,7 days,adjust per CrCl,"Cephalosporin alternative","Common clinical dosing" 
Piperacillin-Tazobactam,Empiric sepsis/bacteremia,IV,4.5 g, q6h,7-14 days,adjust per CrCl,"Broad empiric gram-negative + anaerobic","Stanford sepsis guide (empiric)" 
Meropenem,ESBL/complicated GN bacteremia,IV,1 g, q8h,7-14 days,adjust per CrCl,"Potent carbapenem for resistant GN","IDSA AMR guidance" 
Imipenem-Cilastatin,ESBL/complicated GN bacteremia,IV,500 mg, q6h,7-14 days,adjust per CrCl,"Alternative carbapenem","IDSA AMR guidance" 
Gentamicin,Gram-negative bacteremia (synergy),IV,5-7 mg/kg, q24h,5-7 days,adjust per CrCl,"Often with beta-lactam for synergy","Aminoglycoside dosing norms" 
Amikacin,Gram-negative bacteremia (alternative),IV,15 mg/kg, q24h,5-7 days,adjust per CrCl,"Alternative aminoglycoside","Aminoglycoside clinical practice" 
Amoxicillin-Clavulanate,Step-down gram-negative oral,PO,875/125 mg, q8-12h,7-14 days,adjust per CrCl,"Oral step-down after IV when stable","Adult antimicrobial dosing references" 
Co-Trimoxazole,Step-down oral (susceptible),PO,800/160 mg, q12h,7-14 days,adjust per CrCl,"Oral alternative for susceptible GN","Clinical step-down guidance" 
Ciprofloxacin,Gram-negative bacteremia (susceptible),IV/PO,400 mg, q8-12h,7-14 days,adjust per CrCl,"Fluoroquinolone option if susceptible","Adult antimicrobial resources" 
Levofloxacin,Step-down gram-negative oral,PO/IV,750 mg, q24h,7-14 days,adjust per CrCl,"Alternative oral fluoroquinolone","Practice dosing guides" 
Linezolid,MRSA/Enterococcus bacteremia,IV/PO,600 mg, q12h,10-14 days,none typical,"Gram-positive alternative to vanco","MRSA/enterococcal guidance" 
Doxycycline,Gram-positive susceptible step-down,PO/IV,100 mg, q12h,7-14 days,none typical,"Oral agent for selected gram-positive","Oral antibiotic dosing resources" 
Aztreonam,Gram-negative bacteremia (beta-lactam allergy),IV,2 g, q8h,7-14 days,adjust per CrCl,"Monobactam for beta-lactam allergic patients","Antimicrobial selection guides" 
Ceftazidime,Gram-negative bacteremia (alternative),IV,2 g, q8h,7-14 days,adjust per CrCl,"Cephalosporin alternative","Antimicrobial dosing guides" 
Ertapenem,ESBL bacteremia (non-Pseudomonas),IV,1 g, q24h,7-14 days,adjust per CrCl,"Carbapenem alternative","IDSA AMR guidance" 
Tigecycline,Complicated intra-abdominal or resistant GN,IV,100 mg load then 50 mg, q12h,7-14 days,adjust per CrCl,"Reserved for resistant GN/complex","Antimicrobial practice guides" 
Fosfomycin,Gram-negative bacteremia adjunct,IV,4-8 g, q6h,7-14 days,adjust per CrCl,"Adjunct in resistant GN","Clinical practice references" 
Metronidazole,Anaerobic bloodstream infection,IV/PO,500 mg, q8h,7-14 days,adjust per CrCl,"Anaerobe coverage in mixed infections","Stewardship dosing tables"
