organism,drug,sir,mic
escherichia coli,meropenem,S,
escherichia coli,trimethoprim/sulfamethoxazole,S,
escherichia coli,cefepime,R,
escherichia coli,ceftriaxone,S,<= 1 mg/L
escherichia coli,amoxicillin,S,
escherichia coli,cefotaxime,R,4 mg/L
escherichia coli,ciprofloxacin,R,
escherichia coli,ciprofloxacin,S,
escherichia coli,trimethoprim,R,
escherichia coli,ampicillin,R,
escherichia coli,penicillin,R,
escherichia coli,ciprofloxacin,S,
escherichia coli,ceftazidime,R,
escherichia coli,meropenem,S,
escherichia coli,ceftazidime,S,<= 1 mg/L
escherichia coli,kanamycin,R,
escherichia coli,tetracycline,R,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,cefotaxime,S,
escherichia coli,cefuroxime,R,
escherichia coli,ceftazidime,S,
escherichia coli,amoxicillin/clavulanic acid,R,
escherichia coli,ampicillin,R,>= 32 mg/L
escherichia coli,cefuroxime,S,
escherichia coli,streptomycin,S,
escherichia coli,gentamicin,S,
escherichia coli,gentamicin,S,
escherichia coli,ceftazidime,S,
escherichia coli,ampicillin,R,>= 32 mg/L
escherichia coli,amikacin,S,<= 2 mg/L
escherichia coli,aztreonam,S,
escherichia coli,cephalothin,R,
escherichia coli,cefotaxime,R,
escherichia coli,meropenem,S,
escherichia coli,ampicillin,R,
escherichia coli,amikacin,S,
escherichia coli,trimethoprim,R,64 mg/L
escherichia coli,cefotaxime,S,
escherichia coli,ampicillin,R,>= 32 mg/L
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,nitrofurantoin,S,= 32 mg/L
escherichia coli,meropenem,S,
escherichia coli,ampicillin,S,
escherichia coli,cefotaxime,S,
escherichia coli,ceftazidime,S,
escherichia coli,gentamicin,S,
escherichia coli,aztreonam,S,
escherichia coli,tobramycin,S,<= 1 mg/L
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,trimethoprim/sulfamethoxazole,S,
escherichia coli,cefuroxime,S,
escherichia coli,ampicillin,S,
escherichia coli,cefoxitin,S,
escherichia coli,meropenem,S,
escherichia coli,ciprofloxacin,R,
escherichia coli,nalidixic acid,S,
escherichia coli,ceftazidime,S,
escherichia coli,ciprofloxacin,R,>= 4 mg/L
escherichia coli,amikacin,S,
escherichia coli,cefotaxime,S,
escherichia coli,cefuroxime,S,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,cefuroxime,S,
escherichia coli,ampicillin,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,tigecycline,S,
escherichia coli,ampicillin,S,
escherichia coli,tobramycin,R,
escherichia coli,trimethoprim,S,
escherichia coli,imipenem,S,
escherichia coli,cefuroxime,R,
escherichia coli,aztreonam,R,
escherichia coli,gentamicin,S,
escherichia coli,ampicillin,S,
escherichia coli,tobramycin,R,> 16 mg/L
escherichia coli,amoxicillin,R,
escherichia coli,cefotaxime,R,>= 64 mg/L
escherichia coli,amoxicillin,I,
escherichia coli,cefoxitin,R,
escherichia coli,ampicillin,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,ertapenem,S,<= 0.5 mg/L
escherichia coli,ampicillin,S,
escherichia coli,ceftazidime,S,
escherichia coli,gentamicin,S,<= 1 mg/L
escherichia coli,ceftazidime,S,
escherichia coli,trimethoprim/sulfamethoxazole,S,
escherichia coli,gentamicin,S,<= 1 mg/L
escherichia coli,ampicillin,R,
escherichia coli,ciprofloxacin,R,>= 4 mg/L
escherichia coli,amoxicillin/clavulanic acid,R,>= 32 mg/L
escherichia coli,cefuroxime,S,
escherichia coli,ceftazidime,S,
escherichia coli,cefepime,R,
escherichia coli,cefuroxime,R,
escherichia coli,tigecycline,S,
escherichia coli,gentamicin,R,
escherichia coli,kanamycin,R,10 mm
escherichia coli,ampicillin,R,
escherichia coli,ampicillin,R,
escherichia coli,cefotaxime,R,
escherichia coli,gentamicin,S,
escherichia coli,nitrofurantoin,S,
escherichia coli,ciprofloxacin,S,= 35 mm
escherichia coli,cephalothin,S,
escherichia coli,gentamicin,S,
escherichia coli,ceftazidime,S,
escherichia coli,tobramycin,S,
escherichia coli,ciprofloxacin,S,<= 0.25 mg/L
escherichia coli,aztreonam,S,
escherichia coli,amoxicillin/clavulanic acid,R,
escherichia coli,ceftazidime,S,
escherichia coli,nitrofurantoin,S,<= 16 mg/L
escherichia coli,ampicillin,R,
escherichia coli,meropenem,S,
escherichia coli,cefotaxime,S,
escherichia coli,cefotaxime,S,
escherichia coli,trimethoprim/sulfamethoxazole,S,
escherichia coli,cefotaxime,S,<= 1 mg/L
escherichia coli,cefotaxime,S,
escherichia coli,amikacin,S,<= 2 mg/L
escherichia coli,cefuroxime,S,
escherichia coli,amoxicillin,R,
escherichia coli,imipenem,S,
escherichia coli,ampicillin/sulbactam,S,
escherichia coli,gentamicin,S,
escherichia coli,gentamicin,S,
escherichia coli,ampicillin,R,
escherichia coli,amoxicillin,S,
escherichia coli,amoxicillin/clavulanic acid,S,
escherichia coli,sulfamethoxazole,S,
escherichia coli,cefoxitin,R,
escherichia coli,gentamicin,S,
escherichia coli,meropenem,S,
escherichia coli,ertapenem,S,
escherichia coli,gentamicin,S,
escherichia coli,cefazolin,R,> 8 mg/L
escherichia coli,aztreonam,S,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,ceftazidime,R,
escherichia coli,aztreonam,S,
escherichia coli,gentamicin,S,<= 1 mg/L
escherichia coli,ciprofloxacin,R,> 8 mg/L
escherichia coli,meropenem,S,
escherichia coli,ciprofloxacin,R,
escherichia coli,ciprofloxacin,R,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,polymyxin b,S,< 0.25 mg/L
escherichia coli,cefotaxime,S,
escherichia coli,trimethoprim/sulfamethoxazole,S,
escherichia coli,trimethoprim/sulfamethoxazole,R,6 mm
escherichia coli,trimethoprim,S,
escherichia coli,cefepime,S,= 2 mg/L
escherichia coli,meropenem,S,<= 0.25 mg/L
escherichia coli,cefuroxime,S,
escherichia coli,meropenem,S,<= 0.25 mg/L
escherichia coli,tigecycline,S,
escherichia coli,cefepime,S,
escherichia coli,cefotaxime,S,<= 1 mg/L
escherichia coli,amoxicillin/clavulanic acid,S,
escherichia coli,nitrofurantoin,S,<= 16 mg/L
escherichia coli,cefoxitin,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,ceftazidime,S,
escherichia coli,cefepime,S,= 2 mg/L
escherichia coli,piperacillin/tazobactam,S,<= 4 mg/L
escherichia coli,piperacillin/tazobactam,R,64 mg/L
escherichia coli,cefuroxime,R,
escherichia coli,cefotaxime,S,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,moxifloxacin,R,
escherichia coli,levofloxacin,R,> 8 mg/L
escherichia coli,gentamicin,S,
escherichia coli,amoxicillin/clavulanic acid,S,
escherichia coli,gentamicin,S,
escherichia coli,sulfisoxazole,R,
escherichia coli,tobramycin,S,
escherichia coli,ceftazidime,S,
escherichia coli,ceftazidime,R,> 64 mg/L
escherichia coli,ceftazidime,S,
escherichia coli,tetracycline,R,> 32 mg/L
escherichia coli,ceftiofur,S,
escherichia coli,cefotaxime,S,
escherichia coli,tetracycline,S,<= 1 mg/L
escherichia coli,amoxicillin,R,
escherichia coli,cefotaxime,R,> 64 mg/L
escherichia coli,streptomycin,S,
escherichia coli,ciprofloxacin,R,
escherichia coli,piperacillin/tazobactam,R,64 mg/L
escherichia coli,gentamicin,S,
escherichia coli,cefpodoxime,S,
escherichia coli,cefotaxime,S,
escherichia coli,cefpodoxime_clavulanic_acid,R,
escherichia coli,ciprofloxacin,S,
escherichia coli,cefotaxime,S,
escherichia coli,tigecycline,S,
escherichia coli,ampicillin,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,tigecycline,S,
escherichia coli,cefotaxime,S,
escherichia coli,tigecycline,S,
escherichia coli,ceftazidime,S,
escherichia coli,ceftazidime,R,
escherichia coli,gentamicin,S,<= 1 mg/L
escherichia coli,aztreonam,S,
escherichia coli,cefazolin,R,>= 64 mg/L
escherichia coli,ampicillin,S,
escherichia coli,norfloxacin,S,<= 0.5 mg/L
escherichia coli,cefotaxime,R,>= 64 mg/L
escherichia coli,tigecycline,S,
escherichia coli,cefotaxime,S,
escherichia coli,ciprofloxacin,R,
escherichia coli,ceftazidime,R,
escherichia coli,tigecycline,S,
escherichia coli,amoxicillin/clavulanic acid,S,
escherichia coli,amikacin,S,<= 2 mg/L
escherichia coli,piperacillin/tazobactam,I,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,gentamicin,S,
escherichia coli,cefpodoxime,R,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,ampicillin,R,
escherichia coli,cephalothin,S,
escherichia coli,amikacin,S,<= 2 mg/L
escherichia coli,nalidixic acid,S,
escherichia coli,amoxicillin,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,cefuroxime,R,
escherichia coli,norfloxacin,S,<= 0.5 mg/L
escherichia coli,gentamicin,S,
escherichia coli,ceftazidime,S,
escherichia coli,ampicillin,S,
escherichia coli,ceftazidime,S,
escherichia coli,chloramphenicol,R,
escherichia coli,meropenem,S,
escherichia coli,cefepime,S,
escherichia coli,amoxicillin/clavulanic acid,S,
escherichia coli,amoxicillin/clavulanic acid,R,
escherichia coli,amoxicillin/clavulanic acid,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,trimethoprim/sulfamethoxazole,S,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,ceftriaxone,S,
escherichia coli,ampicillin,S,
escherichia coli,ceftazidime,S,<= 1 mg/L
escherichia coli,cefotaxime,R,
escherichia coli,cefepime,S,
escherichia coli,ciprofloxacin,S,
escherichia coli,ampicillin,S,
escherichia coli,ertapenem,S,
escherichia coli,trimethoprim/sulfamethoxazole,S,
escherichia coli,ertapenem,S,
escherichia coli,cefuroxime,S,
escherichia coli,meropenem,S,<= 0.25 mg/L
escherichia coli,piperacillin/tazobactam,S,<= 4 mg/L
escherichia coli,doxycycline,R,
escherichia coli,gentamicin,S,
escherichia coli,trimethoprim,R,
escherichia coli,ampicillin,R,
escherichia coli,ceftazidime,S,< 1 mg/L
escherichia coli,gentamicin,S,
escherichia coli,doripenem,S,<= 0.12 mg/L
escherichia coli,trimethoprim,S,
escherichia coli,ceftazidime,S,
escherichia coli,fosfomycin,S,<= 32 mg/L
escherichia coli,cefotaxime,S,
escherichia coli,tigecycline,S,
escherichia coli,amoxicillin,R,
escherichia coli,aztreonam,S,
escherichia coli,ciprofloxacin,R,>= 4 mg/L
escherichia coli,cefazolin,R,>= 64 mg/L
escherichia coli,cefotaxime,R,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,piperacillin/tazobactam,S,
escherichia coli,ampicillin,R,
escherichia coli,ceftazidime,S,
escherichia coli,ampicillin,R,
escherichia coli,amoxicillin/clavulanic acid,S,
escherichia coli,ceftazidime,S,
escherichia coli,ampicillin,S,
escherichia coli,cefotaxime,S,
escherichia coli,trimethoprim/sulfamethoxazole,R,
escherichia coli,ciprofloxacin,S,
escherichia coli,tigecycline,S,<= 0.5 mg/L
escherichia coli,cefuroxime,S,
escherichia coli,tobramycin,S,
escherichia coli,ciprofloxacin,S,<= 0.25 mg/L
escherichia coli,trimethoprim,R,
escherichia coli,tobramycin,S,
